,COPEPODS_01,COPEPODS_05,COPEPODS_06,COPEPODS_07,COPEPODS_08,COPEPODS_09,COPEPODS_10,COPEPODS_11,COPEPODS_12,COPEPODS_14,COPEPODS_15,COPEPODS_16,COPEPODS_17,COPEPODS_18,COPEPODS_19,COPEPODS_20,COPEPODS_21,COPEPODS_22,COPEPODS_23,COPEPODS_24,COPEPODS_25,COPEPODS_26,COPEPODS_27,COPEPODS_28,COPEPODS_29,COPEPODS_30,COPEPODS_31,COPEPODS_32,COPEPODS_33,COPEPODS_34,COPEPODS_35,COPEPODS_36,COPEPODS_37,COPEPODS_38,COPEPODS_39,COPEPODS_40,COPEPODS_41,COPEPODS_42,COPEPODS_43,COPEPODS_44,COPEPODS_45,COPEPODS_46,COPEPODS_47,COPEPODS_48,COPEPODS_49,COPEPODS_50,COPEPODS_51,COPEPODS_52,COPEPODS_53,COPEPODS_54,COPEPODS_55,COPEPODS_56,COPEPODS_57,COPEPODS_58,COPEPODS_59,COPEPODS_60,COPEPODS_61
TRINITY_DN10201_c0_g1_i1.m.3024,4.159488965,4.761577561,5.60418919,4.593002727,4.365226081,4.862642244,5.262013891,5.55214624,5.01665318,4.952110072,5.3941686,4.988026557,4.846497596,4.982763607,4.754643348,5.632165506,4.494703014,4.963842663,4.776111078,5.19763815,5.668731775,4.627994073,5.010322882,5.17584695,5.340362757,5.437117667,4.779876254,4.73911494,5.036750203,5.231977178,4.852065583,5.173666858,5.250276752,5.292512437,4.570360979,5.087042715,5.388209369,5.290525601,4.732067545,4.931722118,4.952108612,4.155548307,5.776108804,5.047239856,5.476082027,4.776764264,4.987042018,5.639882742,5.101685442,5.004580914,5.634439723,5.458170961,5.007603311,4.884546421,4.61698158,4.871312555,4.965182586
TRINITY_DN10235_c0_g1_i1.m.3052,4.240153309,NA,2.225432064,2.35174142,3.123962497,2.135951786,3.172758473,4.980740285,4.289969655,NA,4.304910164,3.261344737,3.342210276,2.256080507,2.250345328,4.712835171,2.253452816,3.237160252,3.2718207,3.863270484,2.289971996,2.38673578,3.868596828,NA,3.251106692,3.347859672,3.275578446,NA,2.310051873,2.142715766,NA,3.254341045,3.161013635,2.373172882,3.066070008,2.360342445,3.298956682,NA,2.227763739,2.205044177,3.225431992,NA,3.856780169,NA,3.234828532,3.272463109,2.260364324,2.261123715,3.182348829,3.277892456,3.130142369,3.953879956,2.280922308,3.742820437,4.112683244,4.46655304,2.238484082
TRINITY_DN11059_c0_g1_i1.m.3331,3.129290633,3.146421422,3.114565425,3.240889134,3.013111051,NA,3.061888291,NA,NA,3.114560849,3.194053203,NA,NA,NA,3.139486208,NA,3.14257831,3.126292003,3.160952683,3.167447128,3.17911464,4.275870029,NA,NA,NA,3.236996073,NA,NA,4.199204463,3.031861437,3.014523297,NA,3.050158719,3.262311606,2.955208779,3.249493954,NA,NA,3.116912195,NA,NA,3.125346669,3.160960596,3.017043697,3.123960607,4.161604315,NA,3.150256144,3.071486124,3.1670304,3.01928452,3.258046471,3.170055992,3.046996975,NA,3.033768666,3.127630306
TRINITY_DN11232_c0_g1_i1.m.3408,4.301353149,5.318483017,5.286628325,5.734871517,5.185168205,4.197154939,5.233955158,NA,3.351172873,3.28662702,5.366112919,5.322541325,3.403403336,5.317279503,5.311551163,NA,4.314644623,6.105712769,5.917979462,5.339509964,4.936130308,5.769861016,4.929798319,NA,4.312307979,4.409059537,3.336779475,4.296019583,5.371263484,NA,NA,4.315535151,3.222224952,NA,NA,3.421552525,NA,3.432392101,4.288977859,NA,3.286624108,6.104769226,5.654942503,NA,3.296023449,5.333668894,NA,4.32232161,5.565484047,4.924056855,NA,5.752042127,NA,5.540988509,3.173885373,NA,5.299697867
TRINITY_DN11265_c0_g1_i1.m.3414,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.608552309,3.688040279,3.644466033,NA,3.63920626,3.633476321,NA,3.636565984,4.620287907,3.654941886,3.661432088,3.67309186,3.769863757,NA,3.639645161,3.634240311,NA,NA,3.617944758,3.693187984,NA,3.50850868,3.63746615,NA,3.756302507,3.44918807,NA,NA,NA,3.610907271,4.588166425,NA,3.61934009,3.654945518,NA,4.617948686,NA,4.643484607,3.644249705,4.56548095,3.661017866,NA,NA,3.664044932,4.540985723,NA,NA,NA
TRINITY_DN11482_c0_g1_i1.m.3507,3.825113611,4.257285452,3.810385001,3.936703921,3.123962497,4.457886134,3.757715944,4.758343867,4.611892999,2.225424712,3.889872665,4.583267177,4.342202822,4.256080507,4.835312936,4.127869903,4.253438765,3.822117968,3.2718207,4.600234002,3.874934497,4.386728631,3.283639075,3.256520656,3.836069193,4.347859672,4.597509754,3.819780207,4.631991969,4.142723668,4.125378459,3.839298495,3.745985839,3.373172882,3.651027373,3.945314807,4.298956682,3.37119023,3.812735402,3.205028776,4.547353873,3.821173531,3.856780169,3.712866754,3.234828532,4.272470703,4.260356811,3.261123715,3.182348829,3.862854957,4.130142369,3.368907714,4.280914583,3.157857936,3.112683244,4.46655304,3.238498493
TRINITY_DN11722_c0_g2_i1.m.3598,4.967932957,3.985059953,3.953204729,3.664480528,4.436704033,3.448695504,3.900533449,1.901161311,4.017743826,3.538160175,4.617648891,4.311043383,4.654940674,3.983851355,4.300051882,3.440606413,4.566178811,1.964917917,4.584556363,4.813438764,4.017745033,4.436434652,4.333336939,3.569255833,3.978883115,4.882991308,NA,4.284527798,4.622806133,4.455461556,4.438117623,NA,4.473760371,4.100953179,1.793826791,4.673093844,4.348658889,4.683930574,4.277477636,2.932819911,4.275128946,4.285917972,4.999588564,4.440647647,4.284524838,NA,NA,4.310821841,4.23205957,4.327598202,4.179853577,4.904046341,5.178618697,3.885639606,3.840457122,NA,4.288201454
TRINITY_DN12335_c0_g1_i2.m.3824,2.886319866,1.733517164,1.286631762,2.635323981,1.600216199,1.934111543,2.45635636,1.234597271,2.088117215,2.023578584,2.366123953,1.737561888,1.818426546,1.732296934,2.533945682,1.60408796,2.051592708,1.713397311,2.069968516,3.076469588,2.351157701,2.670326518,1.759868766,2.05468266,0.727338416,1.409044976,1.336810274,1.711057082,3.245739464,1.618938477,2.408963127,1.73057265,2.222224952,0.849388375,0.542327009,1.421538348,1.360135921,1.847444294,0.703995598,0.681293544,1.286653885,2.519795179,3.333014408,1.60415969,1.711046659,3.070626482,1.736588251,1.737344358,2.465936431,2.754134145,1.928315927,2.652504453,2.079070584,1.956017649,1.588938449,1.942778317,2.036677273
TRINITY_DN12368_c0_g1_i1.m.3849,3.07074781,6.087871563,NA,5.182331601,3.954556629,NA,5.003344014,NA,NA,5.377936388,5.135499256,6.091928984,5.757754559,4.671629165,NA,NA,5.084029629,5.875100967,5.90975858,4.108897434,4.705515493,5.217318714,3.114223254,4.672062938,5.081695521,5.178448745,3.106173528,4.06540607,5.140650412,NA,4.955965352,4.084919705,NA,4.788732091,4.481615849,5.998296869,4.714503437,6.201780152,4.643326875,4.035625402,5.056010783,5.65176492,3.102403691,NA,4.06541033,5.688017836,4.67590506,4.091705535,3.01295066,4.693444477,NA,4.199503158,3.111507068,5.310374058,NA,NA,NA
TRINITY_DN12409_c0_g1_i1.m.3872,5.611309699,4.628436995,5.181545652,6.044825439,NA,3.507108794,3.543908153,NA,NA,NA,4.676068716,NA,5.298323639,4.627233084,NA,3.499033283,4.624594554,NA,5.642971079,3.649465815,NA,5.342848591,3.654795641,4.627673907,3.622258724,4.719018194,3.646738521,3.605981946,4.681221956,3.513883392,5.081496938,3.625485957,NA,3.744332218,3.43721848,4.731513224,3.670113608,5.32730852,4.598932917,3.576189454,4.59657971,3.607372118,4.642969861,NA,3.605981855,5.228586929,4.631511293,NA,NA,4.649050862,4.501298496,3.740074621,3.652077621,3.529015775,NA,3.515781328,NA
