,Hour,NightDay
COPEPODS_01,22,Night
COPEPODS_05,22,Night
COPEPODS_06,22,Night
COPEPODS_07,2,Night
COPEPODS_08,22,Night
COPEPODS_09,22,Night
COPEPODS_10,22,Night
COPEPODS_11,15,Day
COPEPODS_12,9,Day
COPEPODS_14,9,Day
COPEPODS_15,22,Night
COPEPODS_16,22,Night
COPEPODS_17,9,Day
COPEPODS_18,2,Night
COPEPODS_19,22,Night
COPEPODS_20,15,Day
COPEPODS_21,2,Night
COPEPODS_22,22,Night
COPEPODS_23,22,Night
COPEPODS_24,22,Night
COPEPODS_25,22,Night
COPEPODS_26,2,Night
COPEPODS_27,22,Night
COPEPODS_28,2,Night
COPEPODS_29,9,Day
COPEPODS_30,15,Day
COPEPODS_31,9,Day
COPEPODS_32,22,Night
COPEPODS_33,2,Night
COPEPODS_34,15,Day
COPEPODS_35,2,Night
COPEPODS_36,9,Day
COPEPODS_37,22,Night
COPEPODS_38,9,Day
COPEPODS_39,15,Day
COPEPODS_40,9,Day
COPEPODS_41,15,Day
COPEPODS_42,9,Day
COPEPODS_43,2,Night
COPEPODS_44,15,Day
COPEPODS_45,15,Day
COPEPODS_46,22,Night
COPEPODS_47,22,Night
COPEPODS_48,15,Day
COPEPODS_49,9,Day
COPEPODS_50,2,Night
COPEPODS_51,2,Night
COPEPODS_52,9,Day
COPEPODS_53,22,Night
COPEPODS_54,2,Night
COPEPODS_55,22,Night
COPEPODS_56,22,Night
COPEPODS_57,22,Night
COPEPODS_58,22,Night
COPEPODS_59,9,Day
COPEPODS_60,15,Day
COPEPODS_61,22,Night
