,x
TRINITY_DN10039_c0_g1_i1|m.2968,1
TRINITY_DN10201_c0_g1_i1|m.3024,2
TRINITY_DN10235_c0_g1_i1|m.3052,3
TRINITY_DN10517_c0_g1_i1|m.3128,4
TRINITY_DN10582_c0_g1_i1|m.3152,3
TRINITY_DN10665_c0_g1_i1|m.3176,5
TRINITY_DN10759_c0_g1_i1|m.3212,3
TRINITY_DN10762_c0_g1_i1|m.3213,5
TRINITY_DN10804_c0_g1_i1|m.3232,6
TRINITY_DN10931_c0_g1_i1|m.3272,7
TRINITY_DN11059_c0_g1_i1|m.3331,3
TRINITY_DN11067_c0_g1_i1|m.3336,3
TRINITY_DN11232_c0_g1_i1|m.3408,2
TRINITY_DN11265_c0_g1_i1|m.3414,3
TRINITY_DN11422_c0_g1_i1|m.3488,7
TRINITY_DN11482_c0_g1_i1|m.3507,2
TRINITY_DN11554_c0_g1_i1|m.3536,3
TRINITY_DN11554_c0_g2_i1|m.3537,3
TRINITY_DN11722_c0_g2_i1|m.3598,2
TRINITY_DN11847_c0_g1_i1|m.3623,8
TRINITY_DN12021_c0_g1_i1|m.3702,9
TRINITY_DN12329_c0_g1_i1|m.3833,5
TRINITY_DN12335_c0_g1_i2|m.3824,3
TRINITY_DN12348_c0_g1_i1|m.3844,7
TRINITY_DN12368_c0_g1_i1|m.3849,2
TRINITY_DN12409_c0_g1_i1|m.3872,2
TRINITY_DN12493_c0_g1_i1|m.3886,2
TRINITY_DN12494_c0_g1_i1|m.3885,3
TRINITY_DN12623_c0_g1_i1|m.3947,10
TRINITY_DN12783_c1_g1_i1|m.3989,11
TRINITY_DN12801_c0_g1_i1|m.3996,3
TRINITY_DN12811_c0_g1_i1|m.4001,3
TRINITY_DN12819_c0_g1_i1|m.4007,2
TRINITY_DN12999_c0_g1_i1|m.4046,2
TRINITY_DN13245_c0_g1_i1|m.4102,11
TRINITY_DN13361_c0_g1_i1|m.4134,2
TRINITY_DN13462_c0_g1_i1|m.4185,8
TRINITY_DN13666_c0_g1_i1|m.4278,12
TRINITY_DN13771_c0_g1_i1|m.4320,4
TRINITY_DN14192_c0_g2_i1|m.4484,3
TRINITY_DN14241_c0_g1_i1|m.4502,3
TRINITY_DN14265_c0_g1_i1|m.4508,13
TRINITY_DN14339_c0_g1_i1|m.4522,3
TRINITY_DN14359_c0_g1_i1|m.4547,4
TRINITY_DN14395_c0_g1_i1|m.4566,3
TRINITY_DN14518_c0_g1_i1|m.4602,10
TRINITY_DN14665_c0_g1_i1|m.4646,5
TRINITY_DN14922_c0_g1_i1|m.4773,2
TRINITY_DN15019_c0_g1_i1|m.4820,1
TRINITY_DN15137_c0_g1_i1|m.4855,5
TRINITY_DN15176_c0_g1_i1|m.4874,10
TRINITY_DN15237_c0_g1_i1|m.4912,10
TRINITY_DN15308_c0_g1_i1|m.4940,8
TRINITY_DN15422_c0_g1_i1|m.4995,10
TRINITY_DN15466_c0_g1_i1|m.5016,3
TRINITY_DN15531_c0_g1_i1|m.5093,14
TRINITY_DN15535_c0_g1_i1|m.5091,10
TRINITY_DN15553_c0_g1_i1|m.5103,5
TRINITY_DN15739_c0_g1_i1|m.5194,3
TRINITY_DN15787_c0_g1_i1|m.5232,5
TRINITY_DN15797_c0_g1_i1|m.5191,3
TRINITY_DN15853_c0_g1_i1|m.5271,2
TRINITY_DN16044_c0_g1_i1|m.5341,3
TRINITY_DN16088_c0_g1_i1|m.5375,2
TRINITY_DN16127_c0_g1_i1|m.5391,2
TRINITY_DN16228_c0_g1_i1|m.5439,2
TRINITY_DN16250_c0_g1_i1|m.5445,6
