"","COPEPODS_01","COPEPODS_05","COPEPODS_06","COPEPODS_07","COPEPODS_08","COPEPODS_09","COPEPODS_10","COPEPODS_11","COPEPODS_12","COPEPODS_14","COPEPODS_15","COPEPODS_16","COPEPODS_17","COPEPODS_18","COPEPODS_19","COPEPODS_20","COPEPODS_21","COPEPODS_22","COPEPODS_23","COPEPODS_24","COPEPODS_25","COPEPODS_26","COPEPODS_27","COPEPODS_28","COPEPODS_29","COPEPODS_30","COPEPODS_31","COPEPODS_32","COPEPODS_33","COPEPODS_34","COPEPODS_35","COPEPODS_36","COPEPODS_37","COPEPODS_38","COPEPODS_39","COPEPODS_40","COPEPODS_41","COPEPODS_42","COPEPODS_43","COPEPODS_44","COPEPODS_45","COPEPODS_46","COPEPODS_47","COPEPODS_48","COPEPODS_49","COPEPODS_50","COPEPODS_51","COPEPODS_52","COPEPODS_53","COPEPODS_54","COPEPODS_55","COPEPODS_56","COPEPODS_57","COPEPODS_58","COPEPODS_59","COPEPODS_60","COPEPODS_61"
"TRINITY_DN10201_c0_g1_i1.m.3024",4.0704743565,4.7489836485,5.529903515,4.474996351,4.443874759,4.823801685,5.250845456,5.4948433465,5.06230046,4.954694662,5.2950594005,4.95341588,4.617758835,5.058199635,4.733625403,5.536981247,4.656605889,4.902079524,4.778582292,5.071638494,5.517984438,4.648830646,4.966567764,5.250843424,5.4299856045,5.236905992,4.8088386315,4.749712712,5.033326132,5.222830558,5.03779137,5.2643452805,5.337871058,5.246732425,4.730980688,4.84604776,5.171628208,5.04344868,4.825457272,5.000334117,4.8365951725,4.161841735,5.720329699,5.047239856,5.61529727,4.8357565235,5.094724505,5.647264458,5.204133559,5.082654331,5.684262935,5.3172629255,5.0048152875,4.954125521,4.746802766,4.899382796,4.956016481
"TRINITY_DN10235_c0_g1_i1.m.3052",4.1511387005,NA,2.151146389,2.233735044,3.202611175,2.097111227,3.161590038,4.9234373915,4.335616935,NA,4.2058009645,3.22673406,3.113471515,2.331516535,2.229327383,4.617650912,2.415355691,3.175397113,3.274291914,3.737270828,2.139224659,2.407572353,3.82484171,NA,3.3407295395,3.147647997,3.3045408235,NA,2.306627802,2.133569146,NA,3.3450194675,3.248607941,2.32739287,3.226689717,2.11934749,3.082375521,NA,2.321153466,2.273656176,3.1099185525,NA,3.801001064,NA,3.374043775,3.3314553685,2.368046811,2.268505431,3.284796946,3.355965873,3.179965581,3.8129719205,2.2781342845,3.812399537,4.24250443,4.494623281,2.229317977
"TRINITY_DN11059_c0_g1_i1.m.3331",3.0402760245,3.1338275095,3.04027975,3.122882758,3.091759729,NA,3.050719856,NA,NA,3.117145439,3.0949440035,NA,NA,NA,3.118468263,NA,3.304481185,3.064528864,3.163423897,3.041447472,3.028367303,4.296706602,NA,NA,NA,3.036784398,NA,NA,4.195780392,3.022714817,3.200249084,NA,3.137753025,3.216531594,3.115828488,3.008498999,NA,NA,3.210301922,NA,NA,3.131640097,3.105181491,3.017043697,3.26317585,4.2205965745,NA,3.15763786,3.173934241,3.245103817,3.069107732,3.1171384355,3.1672679685,3.116576075,NA,3.061838907,3.118464201
"TRINITY_DN11232_c0_g1_i1.m.3408",4.2123385405,5.3058891045,5.21234265,5.616865141,5.263816883,4.15831438,5.222786723,NA,3.396820153,3.28921161,5.2670037195,5.287930648,3.174664575,5.392715531,5.290533218,NA,4.476547498,6.04394963,5.920450676,5.213510308,4.785382971,5.790697589,4.886043201,NA,4.4019308265,4.208847862,3.3657418525,4.306617355,5.367839413,NA,NA,4.4062135735,3.309819258,NA,NA,3.18055757,NA,3.18531518,4.382367586,NA,3.1711106685,6.111062654,5.599163398,NA,3.435238692,5.3926611535,NA,4.329703326,5.667932164,5.002130272,NA,5.6111340915,NA,5.610567609,3.303706559,NA,5.290531762
"TRINITY_DN11265_c0_g1_i1.m.3414",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.611136899,3.5889310795,3.609855356,NA,3.714642288,3.612458376,NA,3.798468859,4.558524768,3.6574131,3.535432432,3.522344523,3.79070033,NA,3.714641635,3.7238631585,NA,NA,3.62854253,3.689763913,NA,3.694234467,3.7281445725,NA,3.710522495,3.609807779,NA,NA,NA,3.704296998,4.656778424,NA,3.625633518,3.599166413,NA,4.757163929,NA,4.751167094,3.651631421,4.667929067,3.739091283,NA,NA,3.6612569085,4.610564823,NA,NA,NA
"TRINITY_DN11482_c0_g1_i1.m.3507",3.7360990025,4.2446915395,3.736099326,3.818697545,3.202611175,4.419045575,3.746547509,4.7010409735,4.657540279,2.228009302,3.7907634655,4.5486565,4.113464061,4.331516535,4.814294991,4.032685644,4.41534164,3.760354829,3.274291914,4.474234346,3.72418716,4.407565204,3.239883957,3.33151713,3.9256920405,4.147647997,4.6264721315,3.830377979,4.628567898,4.133577048,4.311104246,3.9299769175,3.833580145,3.32739287,3.811647082,3.704319852,4.082375521,3.124113309,3.906125129,3.273640775,4.4318404335,3.827466959,3.801001064,3.712866754,3.374043775,4.3314629625,4.368039298,3.268505431,3.284796946,3.940928374,4.179965581,3.2279996785,4.2781265595,3.227437036,3.24250443,4.494623281,3.229332388
"TRINITY_DN11722_c0_g2_i1.m.3598",4.8789183485,3.9724660405,3.878919054,3.546474152,4.515352711,3.409854945,3.889365014,1.8438584175,4.063391106,3.540744765,4.5185396915,4.276432706,4.426201913,4.059287383,4.279033937,3.345422154,4.728081686,1.903154778,4.587027577,4.687439108,3.866997696,4.457271225,4.289581821,3.644252307,4.0685059625,4.682779633,NA,4.29512557,4.619382062,4.446314936,4.62384341,NA,4.561354677,4.055173167,1.9544465,4.432098889,4.132077728,4.436853653,4.370867363,3.00143191,4.1596155065,4.2922114,4.943809459,4.440647647,4.423740081,NA,NA,4.318203557,4.334507687,4.405671619,4.229676789,4.7631383055,5.1758306735,3.955218706,3.970278308,NA,4.279035349
"TRINITY_DN12335_c0_g1_i2.m.3824",2.7973052575,1.7209232515,1.212346087,2.517317605,1.678864877,1.895270984,2.445187925,1.1772943775,2.133764495,2.026163174,2.2670147535,1.702951211,1.589687785,1.807732962,2.512927737,1.508903701,2.213495583,1.651634172,2.07243973,2.950469932,2.200410364,2.691163091,1.716113648,2.129679134,0.8169612635,1.208833301,1.3657726515,1.721654854,3.242315393,1.609791857,2.594688914,1.8212510725,2.309819258,0.803608363,0.702946718000001,1.180543393,1.14355476,1.600367373,0.797385325000001,0.749905543000001,1.1711404455,2.526088607,3.277235303,1.60415969,1.850261902,3.1296187415,1.844270738,1.744726074,2.568384548,2.832207562,1.978139139,2.5115964175,2.0762825605,2.025596749,1.718759635,1.970848558,2.027511168
"TRINITY_DN12368_c0_g1_i1.m.3849",2.9817332015,6.0752776505,NA,5.064325225,4.033205307,NA,4.992175579,NA,NA,5.380520978,5.0363900565,6.057318307,5.529015798,4.747065193,NA,NA,5.245932504,5.813337828,5.912229794,3.982897778,4.554768156,5.238155287,3.070468136,4.747059412,5.1713183685,4.97823707,3.1351359055,4.076003842,5.137226341,NA,5.141691139,4.1755981275,NA,4.742952079,4.642235558,5.757301914,4.497922276,5.954703231,4.736716602,4.104237401,4.9404973435,5.658058348,3.046624586,NA,4.204625573,5.7470100955,4.783587547,4.099087251,3.115398777,4.771517894,NA,4.0585951225,3.1087190445,5.379953158,NA,NA,NA
"TRINITY_DN12409_c0_g1_i1.m.3872",5.5222950905,4.6158430825,5.107259977,5.926819063,NA,3.468268235,3.532739718,NA,NA,NA,4.5769595165,NA,5.069584878,4.702669112,NA,3.403849024,4.786497429,NA,5.645442293,3.523466159,NA,5.363685164,3.611040523,4.702670381,3.7118815715,4.518806519,3.6757008985,3.616579718,4.677797885,3.504736772,5.267222725,3.7161643795,NA,3.698552206,3.597838189,4.490518269,3.453532447,5.080231599,4.692322644,3.644801453,4.4810662705,3.613665546,4.587190756,NA,3.745197098,5.2875791885,4.73919378,NA,NA,4.727124279,4.551121708,3.5991665855,3.6492895975,3.598594875,NA,3.543851569,NA
