,X20190815_UWPRQE_COPEPODS_01_ADJNSAF,X20190815_UWPRQE_COPEPODS_02_ADJNSAF,X20190815_UWPRQE_COPEPODS_03_ADJNSAF,X20190815_UWPRQE_COPEPODS_04_ADJNSAF,X20190815_UWPRQE_COPEPODS_05_ADJNSAF,X20190815_UWPRQE_COPEPODS_06_ADJNSAF,X20190815_UWPRQE_COPEPODS_07_ADJNSAF,X20190815_UWPRQE_COPEPODS_08_ADJNSAF,X20190815_UWPRQE_COPEPODS_09_ADJNSAF,X20190815_UWPRQE_COPEPODS_10_ADJNSAF,X20190815_UWPRQE_COPEPODS_11_ADJNSAF,X20190815_UWPRQE_COPEPODS_12_ADJNSAF,X20190815_UWPRQE_COPEPODS_13_ADJNSAF,X20190815_UWPRQE_COPEPODS_14_ADJNSAF,X20190815_UWPRQE_COPEPODS_15_ADJNSAF,X20190815_UWPRQE_COPEPODS_16_ADJNSAF,X20190815_UWPRQE_COPEPODS_17_ADJNSAF,X20190815_UWPRQE_COPEPODS_18_ADJNSAF,X20190815_UWPRQE_COPEPODS_19_ADJNSAF,X20190815_UWPRQE_COPEPODS_20_ADJNSAF,X20190815_UWPRQE_COPEPODS_21_ADJNSAF,X20190815_UWPRQE_COPEPODS_22_ADJNSAF,X20190815_UWPRQE_COPEPODS_23_ADJNSAF,X20190815_UWPRQE_COPEPODS_24_ADJNSAF,X20190815_UWPRQE_COPEPODS_25_ADJNSAF,X20190815_UWPRQE_COPEPODS_26_ADJNSAF,X20190815_UWPRQE_COPEPODS_27_ADJNSAF,X20190815_UWPRQE_COPEPODS_28_ADJNSAF,X20190815_UWPRQE_COPEPODS_29_ADJNSAF,X20190815_UWPRQE_COPEPODS_30_ADJNSAF,X20190815_UWPRQE_COPEPODS_31_ADJNSAF,X20190815_UWPRQE_COPEPODS_32_ADJNSAF,X20190815_UWPRQE_COPEPODS_33_ADJNSAF,X20190815_UWPRQE_COPEPODS_34_ADJNSAF,X20190815_UWPRQE_COPEPODS_35_ADJNSAF,X20190815_UWPRQE_COPEPODS_36_ADJNSAF,X20190815_UWPRQE_COPEPODS_37_ADJNSAF,X20190815_UWPRQE_COPEPODS_38_ADJNSAF,X20190815_UWPRQE_COPEPODS_39_ADJNSAF,X20190815_UWPRQE_COPEPODS_40_ADJNSAF,X20190815_UWPRQE_COPEPODS_41_ADJNSAF,X20190815_UWPRQE_COPEPODS_42_ADJNSAF,X20190815_UWPRQE_COPEPODS_43_ADJNSAF,X20190815_UWPRQE_COPEPODS_44_ADJNSAF,X20190815_UWPRQE_COPEPODS_45_ADJNSAF,X20190815_UWPRQE_COPEPODS_46_ADJNSAF,X20190815_UWPRQE_COPEPODS_47_ADJNSAF,X20190815_UWPRQE_COPEPODS_48_ADJNSAF,X20190815_UWPRQE_COPEPODS_49_ADJNSAF,X20190815_UWPRQE_COPEPODS_50_ADJNSAF,X20190815_UWPRQE_COPEPODS_51_ADJNSAF,X20190815_UWPRQE_COPEPODS_52_ADJNSAF,X20190815_UWPRQE_COPEPODS_53_ADJNSAF,X20190815_UWPRQE_COPEPODS_54_ADJNSAF,X20190815_UWPRQE_COPEPODS_55_ADJNSAF,X20190815_UWPRQE_COPEPODS_56_ADJNSAF,X20190815_UWPRQE_COPEPODS_57_ADJNSAF,X20190815_UWPRQE_COPEPODS_58_ADJNSAF,X20190815_UWPRQE_COPEPODS_59_ADJNSAF,X20190815_UWPRQE_COPEPODS_60_ADJNSAF,X20190815_UWPRQE_COPEPODS_61_ADJNSAF,X20190815_UWPRQE_COPEPODS_62_ADJNSAF,X20190815_UWPRQE_COPEPODS_63_ADJNSAF,X20190815_UWPRQE_COPEPODS_64_ADJNSAF,X20190815_UWPRQE_COPEPODS_65_ADJNSAF,X20190815_UWPRQE_COPEPODS_66_ADJNSAF,X20190815_UWPRQE_COPEPODS_67_ADJNSAF,X20190815_UWPRQE_COPEPODS_68_ADJNSAF,X20190815_UWPRQE_COPEPODS_69_ADJNSAF,X20190815_UWPRQE_COPEPODS_70_ADJNSAF,X20190815_UWPRQE_COPEPODS_71_ADJNSAF,X20190815_UWPRQE_COPEPODS_72_ADJNSAF,X20190815_UWPRQE_COPEPODS_74_ADJNSAF,X20190815_UWPRQE_COPEPODS_75_ADJNSAF,X20190815_UWPRQE_COPEPODS_76_ADJNSAF,X20190815_UWPRQE_COPEPODS_77_ADJNSAF
TRINITY_DN10039_c0_g1_i1|m.2968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7747,0,1.7972,0,0,1.7853,1.7476,0,0,0,0,1.7611,0,0,0,0,0,0,0,0,0,1.7236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5598,0,0,0,0,0,0,0
TRINITY_DN10201_c0_g1_i1|m.3024,20.6765,32.9126,29.9228,32.6573,29.2596,52.3053,23.6216,23.3597,30.5417,40.6886,44.7041,30.1482,31.2865,32.6194,39.9972,33.7777,27.453,34.206,26.7142,49.3055,24.272,33.2624,28.8712,35.0421,47.4436,23.8537,33.5186,37.6949,41.6601,40.4091,25.4725,26.8687,31.83,38.8475,31.7672,36.0185,42.1786,35.557,26.564,32.2795,40.2264,35.5951,29.777,31.0028,30.738,19.4144,52.0483,35.3645,45.7536,26.9483,31.7799,48.7542,33.7871,33.2867,50.583,42.0152,30.9049,32.8485,25.184,27.6053,33.1327,29.8899,37.1732,36.9065,28.1283,34.0412,24.2899,44.9389,33.9292,33.0718,44.8348,59.5323,33.4141,43.9939,25.5237,57.4553
TRINITY_DN10235_c0_g1_i1|m.3052,21.8655,0,0,9.8672,0,5.0285,4.996,9.8812,4.614,9.5619,30.0841,18.2183,11.0286,0,18.7988,10.2058,9.6773,5.1676,4.7084,26.0705,5.1336,10.0501,10.1772,13.8965,4.5611,5.0451,15.1912,0,9.7902,9.4962,8.9791,0,4.8086,4.5646,0,9.5225,9.912,4.7002,9.3639,4.8765,9.4533,0,5.2482,4.6837,9.2874,0,13.7604,0,9.677,9.4993,4.8011,4.6871,8.9325,10.0574,8.9153,14.8105,4.6689,14.8875,17.7548,20.852,5.0054,9.0311,3.9311,19.5145,14.8729,3.5999,0,8.6406,0,7.7719,3.9511,24.2138,3.9262,9.3048,7.7119,8.6799
TRINITY_DN10517_c0_g1_i1|m.3128,0,3.5859,3.8036,0,3.7193,3.6265,3.6031,3.5632,3.3276,3.448,0,0,0,3.554,3.3894,0,0,0,3.3957,3.1337,3.7023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4895,0,0,3.3803,0,0,0,0,0,0,0,0,0,3.2566,2.8351,2.8148,0,5.1925,5.2929,0,0,2.8025,0,0,0,0,0,0
TRINITY_DN10582_c0_g1_i1|m.3152,0,12.4504,0,12.3538,12.9132,25.1826,12.51,12.3713,0,11.9715,10.7615,0,13.8078,0,0,12.7776,0,0,0,10.8801,12.8544,0,0,0,11.421,0,0,0,0,11.8893,11.2419,0,0,0,0,0,0,0,11.7236,0,0,0,0,11.7279,0,0,0,0,12.1156,0,0,0,11.1835,0,0,0,0,0,0,20.8854,0,0,0,0,0,9.0141,0,0,0,9.7305,0,0,0,0,9.6552,0
TRINITY_DN10665_c0_g1_i1|m.3176,0,0,0,0,3.595,3.5054,0,0,0,3.3328,0,0,3.844,0,0,3.5572,0,0,0,0,0,0,3.5473,3.2291,0,0,0,0,0,3.3099,0,0,0,0,0,0,0,0,0,3.3995,6.5899,3.2801,0,0,3.2371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1622,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10759_c0_g1_i1|m.3212,0,13.4163,0,0,0,0,0,0,0,0,0,12.2895,0,13.2968,12.6811,0,0,0,25.4092,11.7242,0,13.559,13.7304,0,0,0,0,0,0,0,0,0,0,12.3166,0,0,13.3727,0,12.6331,0,0,12.6961,0,12.6378,0,0,0,25.2277,0,0,0,0,0,0,12.028,13.3209,0,13.3902,0,0,27.0122,0,10.6072,0,0,0,9.9014,0,24.2038,10.4854,10.6611,13.0671,0,0,10.4044,11.7104
TRINITY_DN10762_c0_g1_i1|m.3213,0,0,7.1461,0,6.9877,0,0,0,6.2519,12.9561,11.6466,6.1713,0,0,0,0,0,7.002,0,0,0,0,0,0,12.3603,6.836,0,0,0,0,6.0833,6.4167,0,0,0,0,0,0,0,0,0,0,0,12.6925,0,6.9547,0,0,13.1121,0,6.5054,12.7018,0,0,12.0801,0,0,0,0,11.3016,0,6.1185,0,0,5.0381,4.8778,4.9721,0,0,0,10.7073,0,10.6398,6.3039,5.2247,11.7611
TRINITY_DN10804_c0_g1_i1|m.3232,0,0,0,0,0,0,0,0,0,8.0453,0,0,0,0,0,8.5871,0,0,0,14.6238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4887,0
TRINITY_DN10931_c0_g1_i1|m.3272,0,0,9.8847,0,0,0,18.7275,0,0,0,0,0,0,0,0,0,0,9.6854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0378,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5968,0,0,0,0,8.7848,0,0,0,0,0,9.301,0,0,0,0,7.3679,0,0,0,0,0,0,0,7.4053,0,0,8.7198,7.227,8.1342
