,TS5b,TS5c,TS5d,TS8b,TS9b,TS9d,TS6a,TS6b,TS6c,TS6d,TS6e,TS6f,TS7a,TS7c,TS7e,TS7f,TS7g,TS7h,TS8a,TS8d,TS8J,TS8K,TS8L
TRINITY_DN10002_c0_g1,0.972,1.382,0.314,0.818,0.353,1.596,0.693,0.581,0.499,2.587,1.651,0.606,0.616,1.201,0.449,0.523,2.357,1.502,7.58,3.849,4.443,2.59,9.127
TRINITY_DN10020_c0_g1,0.77,0.8,0.338,2.462,0.764,2.563,1.351,0.983,1.234,5.585,0.535,0.909,0.901,1.793,0.67,0.987,2.357,3.431,3.413,10.647,1.908,5.501,14.654
TRINITY_DN1003_c0_g1,0.247,0,0,0,0,0,0.386,0.18,0,0.451,0,0,0,0,0,0.124,0.463,0,2.492,0,10.007,0,5.345
TRINITY_DN1003_c0_g2,0.119,0.782,0.563,0.112,0,0.638,0.509,0.547,0.341,3.966,0.78,1.237,0,0,0,0.606,2.329,0.906,1.386,3.057,4.403,1.337,3.083
TRINITY_DN10033_c0_g1,0.596,0.887,0.298,0.558,0.227,0.986,0.895,0.598,0.411,4.126,1.061,0.698,0.362,1.382,0.294,0.655,3.174,2.383,2.74,5.647,3.736,2.019,10.175
TRINITY_DN10039_c0_g1,0.348,6.39,2.454,1.44,0.05,0.178,6.834,1.385,0.053,0.822,10.279,1.414,26.329,2.895,3.381,3.343,1.499,1.644,5.078,3.453,1.04,0.543,1.427
TRINITY_DN10043_c0_g1,0,0.348,0.201,0.808,0.361,1.568,0.351,0.436,0.166,0,0.644,0.32,0.069,0.633,0.261,0.589,0.286,0.091,1.086,0.072,0,0,0
TRINITY_DN10043_c0_g2,0,0,0,0,0,0,0.351,0,0,0,0,0,0,0,0.261,0,0,0,0,0.072,0,0,0
TRINITY_DN10046_c0_g2,0.046,0,0.072,0,0,0,0.877,0.145,0,0.279,0.045,0.042,0,0.132,0.074,0.041,0.163,0.155,0.269,0.09,0.394,0.306,1.109
TRINITY_DN10049_c0_g1,2.53,0.843,1.046,2.276,2.393,3.999,1.026,0.958,0.831,13.889,6.106,1.658,1.564,2.541,1.699,1.809,8.841,7.342,14.788,14.495,11.36,4.429,16.401
TRINITY_DN10057_c0_g1,1.228,0.33,0.314,2.1,1.176,5.107,1.5,2.018,0.761,6.182,0.553,0.572,0.501,1.661,1.535,1.377,5.98,5.594,0.279,17.283,19.085,3.217,33.121
TRINITY_DN1006_c0_g1,0.257,0.626,0.201,0.539,0.647,0.62,0.237,0.513,0.184,0.756,0.118,0,0.747,1.11,0.449,0.224,0.858,0.686,1.624,1.421,1.908,1.574,2.05
TRINITY_DN1006_c0_g2,0,0,0,0,0,0,0.237,0,0,0,0.118,0,0,0,0,0,0,0,0,0,0,0.265,0
TRINITY_DN1008_c0_g1,0.257,0.13,0.161,0.511,0.151,0.817,0.509,0.128,0.709,1.565,0.853,0.404,0.108,0.452,0.278,0.315,0.926,0.725,2.306,2.77,2.928,1.003,4.617
TRINITY_DN10081_c0_g1,0,0.539,0.161,0,0,0,0.36,0.162,0,0,0,0.412,0.231,0,0,0.324,0,0,0,0.072,0,0,0
